"","mRNA_id","mRNA_log2FC_O3","mRNA_padj_O3","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_O3","lncRNA_padj_O3","lncRNA_GeneSymbol"
"148","ENSG00000154096",-1.66343310935227,2.05646880152595e-107,"THY1","ENSG00000263873",-1.61170924137288,3.04932201005208e-113,"AP003396.5"
"149","ENSG00000154556",-1.58252546685185,1.24046247229539e-13,"SORBS2","ENSG00000233110",-1.93263815882381,0.00624695031021479,"AC093797.1"
"150","ENSG00000155592",1.6082883637061,6.74616851656412e-26,"ZKSCAN2","ENSG00000259955",1.621851948848,2.02972078064111e-13,"AC008741.1"
"151","ENSG00000156486",3.244684249483,0.000486042141504686,"KCNS2","ENSG00000272321",2.88345663377828,0.00440265056709468,"AP003355.2"
"152","ENSG00000157107",1.43618896536599,2.65737742443869e-57,"FCHO2","ENSG00000272081",2.04271859577883,6.63159415046807e-05,"AC008972.2"
"153","ENSG00000157193",-1.54507845428128,2.38427132424431e-56,"LRP8","ENSG00000228838",-1.16233218394004,0.00104416028804253,"AL355483.1"
"154","ENSG00000157625",2.65642108096789,7.14009261661668e-73,"TAB3","ENSG00000231542",2.53705119788141,9.61821703953122e-09,"TAB3-AS1"
"155","ENSG00000157625",2.65642108096789,7.14009261661668e-73,"TAB3","ENSG00000235512",2.52536700935656,3.78798362699793e-47,"TAB3-AS2"
"156","ENSG00000157870",-1.26360179253501,8.21729888690455e-29,"FAM213B","ENSG00000228037",8.34896795863234,1.62810869376061e-11,"AL139246.3"
"157","ENSG00000158428",3.37028930646538,9.4508344830015e-15,"C2orf62","ENSG00000225062",1.86176061251455,4.77664924750795e-05,"CATIP-AS1"
"158","ENSG00000159363",-1.55181838237943,5.06486965405619e-121,"ATP13A2","ENSG00000226526",-1.56368747999342,3.80841293232555e-28,"AL049569.1"
"159","ENSG00000159399",-1.90452156808009,4.48359450762812e-45,"HK2","ENSG00000272711",-1.57475326621315,4.93932940456421e-17,"AC019069.1"
"160","ENSG00000160013",-1.59672457719322,0.000144772396208892,"PTGIR","ENSG00000269292",-1.23098226971552,2.70982136251891e-66,"AC093503.2"
"161","ENSG00000160223",2.47137740587466,1.13563984902772e-37,"ICOSLG","ENSG00000232010",7.05842164634717,9.56405711314932e-08,"DNMT3L-AS1"
"162","ENSG00000160284",-1.03363461736557,2.54206822005303e-13,"SPATC1L","ENSG00000228404",-1.62940825786681,5.70677816534471e-07,"AP001468.1"
"163","ENSG00000160285",-2.18116319366577,2.7097675601346e-77,"LSS","ENSG00000228404",-1.62940825786681,5.70677816534471e-07,"AP001468.1"
"164","ENSG00000160469",1.32062400237847,3.38253736071513e-30,"BRSK1","ENSG00000268729",1.38713290877028,0.000133007387678246,"AC020922.2"
"165","ENSG00000160472",2.62998253229,1.81082648247143e-05,"TMEM190","ENSG00000269275",2.35193787642149,0.000548976841326088,"AC020922.3"
"166","ENSG00000161544",-1.07010875091323,1.09171946135713e-62,"CYGB","ENSG00000267546",2.46454944774197,7.45797768558298e-32,"AC015802.4"
"167","ENSG00000161638",-1.37487052038709,4.74089227336392e-54,"ITGA5","ENSG00000258086",-1.11287906662176,3.30059184162554e-06,"AC079313.1"
"168","ENSG00000161642",2.18034429532047,4.57564704699025e-154,"ZNF385A","ENSG00000258086",-1.11287906662176,3.30059184162554e-06,"AC079313.1"
"169","ENSG00000161920",-1.41088842449367,1.61809832020811e-27,"MED11","ENSG00000261898",-1.33880171793754,4.08804816777396e-12,"AC091153.4"
"170","ENSG00000162086",1.35557765704005,2.99096729159882e-31,"ZNF75A","ENSG00000262899",1.17710787959544,8.63139668015619e-05,"AC004232.1"
"171","ENSG00000162241",3.27479123838775,2.05222728795401e-34,"SLC25A45","ENSG00000255478",2.6068285198975,5.29731548067682e-06,"AP000944.1"
"172","ENSG00000162461",1.76833810567287,0.00178965387809444,"SLC25A34","ENSG00000224459",-1.19085647548779,3.13152650161284e-06,"SLC25A34-AS1"
"173","ENSG00000162496",3.53296347836365,9.18517351808415e-110,"DHRS3","ENSG00000272482",5.30124433952936,9.608985947786e-09,"AC254633.1"
"174","ENSG00000162572",2.60368457593683,1.61547619018016e-59,"SCNN1D","ENSG00000230415",1.72592286522114,3.15847188103971e-05,"LINC01786"
"175","ENSG00000163435",1.1217822906636,7.73544780456349e-07,"ELF3","ENSG00000249007",1.29320022924672,2.90426610825878e-06,"AL691482.4"
"176","ENSG00000163513",-1.9804302317859,1.0757163747991e-73,"TGFBR2","ENSG00000261468",-2.93325522189096,3.58146795012653e-35,"AC096921.2"
"177","ENSG00000163637",1.88905800460178,5.99916832759258e-18,"PRICKLE2","ENSG00000241111",1.63735207931312,6.83244342830761e-22,"AC092040.2"
"178","ENSG00000163637",1.88905800460178,5.99916832759258e-18,"PRICKLE2","ENSG00000226017",2.6761860092494,7.89066072454615e-07,"PRICKLE2-AS3"
"179","ENSG00000163993",3.24985563556955,1.33958491967367e-16,"S100P","ENSG00000246526",2.82394639470883,0.00482198810873203,"LINC002481"
"180","ENSG00000164002",1.23173221720321,7.60876764529693e-58,"EXO5","ENSG00000238186",1.22153457354903,1.54909141684029e-13,"AL603839.2"
"181","ENSG00000164002",1.23173221720321,7.60876764529693e-58,"EXO5","ENSG00000227278",1.29554771910425,7.50885766587082e-33,"AL603839.1"
"182","ENSG00000164070",1.8356929818156,4.49640033603943e-115,"HSPA4L","ENSG00000261668",1.91897726204986,8.90216878994655e-26,"AC093591.2"
"183","ENSG00000164078",-1.16413828118801,2.3899736410702e-42,"MST1R","ENSG00000230698",-1.16900110090874,4.4341232740796e-05,"AC105935.2"
"184","ENSG00000164663",1.18087212666557,8.82030451549713e-07,"USP49","ENSG00000268745",1.5867831542041,0.000828540447344471,"AL365205.3"
"185","ENSG00000164687",-1.23527474821211,1.00440531483444e-17,"FABP5","ENSG00000254027",-1.28998436602058,1.74491056216911e-10,"AC009902.2"
"186","ENSG00000164708",2.04482325888552,2.22841853454494e-12,"PGAM2","ENSG00000239775",2.17297843573772,5.39207816161961e-14,"AC017116.1"
"187","ENSG00000164877",1.75630899014796,2.38136981142725e-125,"MICALL2","ENSG00000225981",6.77938708636791,1.25539128850805e-06,"AC102953.1"
"188","ENSG00000165175",1.27613876258371,8.36312450474779e-84,"MID1IP1","ENSG00000238123",1.04776787090877,3.92041189177653e-06,"MID1IP1-AS1"
"189","ENSG00000165995",1.55480616118099,1.81209124492814e-14,"CACNB2","ENSG00000240291",1.60176792398209,3.90938656201097e-36,"AL450384.2"
"190","ENSG00000166342",-1.23892451022574,1.0185555056325e-18,"NETO1","ENSG00000265579",-1.72139345416438,6.4087771330889e-14,"AC023301.1"
"191","ENSG00000167216",2.4052085663952,2.07533296245306e-06,"KATNAL2","ENSG00000266957",4.59846014928006,0.00200327267501945,"AC012254.1"
"192","ENSG00000167244",2.03068772514971,0.000434755603372917,"IGF2","ENSG00000240801",2.64014787601585,6.60428445078751e-10,"AC132217.1"
"193","ENSG00000167553",-2.11825615838599,4.99416894039161e-183,"TUBA1C","ENSG00000258232",-2.02774502371852,1.01419591197961e-80,"AC125611.3"
"194","ENSG00000167656",4.15622795146607,7.46337781878486e-05,"LY6D","ENSG00000253715",4.24973079858247,0.000955390857353723,"AC083841.2"
"195","ENSG00000167962",1.09578790781418,9.14233313451771e-58,"ZNF598","ENSG00000260107",1.06824371202483,1.28591868046908e-28,"AC005606.1"
"196","ENSG00000168209",-1.67531432677088,2.57782096473876e-210,"DDIT4","ENSG00000269926",-1.62397452765142,9.60159962517463e-85,"DDIT4-AS1"
"197","ENSG00000168282",-1.1460104822584,7.84513302597224e-54,"MGAT2","ENSG00000258377",-1.09015313702182,5.80308818062341e-37,"AL139099.2"
"198","ENSG00000168291",-1.36802738153043,5.908506754969e-44,"PDHB","ENSG00000272182",-1.4122386588619,8.74297974944074e-25,"AC135507.1"
"199","ENSG00000168505",3.90652524811839,9.98337729166237e-07,"GBX2","ENSG00000233611",3.23273278797206,0.00321347673726229,"AC019068.1"
"200","ENSG00000168961",3.92874400207303,5.50548596882395e-07,"LGALS9","ENSG00000266872",2.11158323026244,7.41092386027153e-52,"AC015688.6"
"201","ENSG00000169247",-3.00309240734772,3.91543726559843e-36,"SH3TC2","ENSG00000272411",4.58110708938834,0.00445891985583179,"AC116312.1"
"202","ENSG00000169291",4.0221241476649,0.00112918893781503,"SHE","ENSG00000273110",3.93614292924409,0.00140269225679467,"AL162591.2"
"203","ENSG00000169495",6.57118178600504,2.1782819669336e-07,"HTRA4","ENSG00000253645",-1.12448539231919,6.26454000294877e-22,"AC108863.2"
"204","ENSG00000169499",-1.20445415918144,2.44447763283631e-11,"PLEKHA2","ENSG00000253645",-1.12448539231919,6.26454000294877e-22,"AC108863.2"
"205","ENSG00000170382",5.13317451513773,6.78698819293382e-06,"LRRN2","ENSG00000240219",4.64872483055992,2.55341331005784e-19,"AL512306.2"
"206","ENSG00000170485",-1.03456657172007,3.56704956608363e-14,"NPAS2","ENSG00000223947",-1.1569725854684,5.39753129558956e-10,"AC016738.1"
"207","ENSG00000170558",-1.18115107110033,1.23404848030962e-41,"CDH2","ENSG00000227279",-1.00213812542647,1.96116042061798e-13,"AC110015.1"
"208","ENSG00000170579",3.83362091150002,1.97571056660023e-06,"DLGAP1","ENSG00000262001",2.34120112204414,3.61209988266552e-99,"DLGAP1-AS2"
"209","ENSG00000170734",2.65606296288892,1.71592375598399e-131,"POLH","ENSG00000203362",2.39708366803066,7.84993745582212e-19,"POLH-AS1"
"210","ENSG00000171044",1.38304928384273,3.58803204505964e-20,"XKR6","ENSG00000255310",1.39744823139294,1.2472182249429e-15,"AF131215.5"
"211","ENSG00000171044",1.38304928384273,3.58803204505964e-20,"XKR6","ENSG00000269918",1.30447830308824,2.26041977765065e-11,"AF131215.6"
"212","ENSG00000171206",1.19854423097552,1.14087961220876e-53,"TRIM8","ENSG00000272933",2.15226280069089,5.94471525899325e-98,"AL391121.1"
"213","ENSG00000171368",2.02253000462902,4.0882662964044e-09,"TPPP","ENSG00000271781",2.68317228238036,5.13064939775234e-15,"AC026740.1"
"214","ENSG00000172059",2.0972158484079,8.48177078628584e-33,"KLF11","ENSG00000271787",2.25744694547378,2.19102939862718e-25,"AC104794.5"
"215","ENSG00000172818",3.23213518025726,1.1742290693702e-11,"OVOL1","ENSG00000255404",3.86495378816719,5.12047574997426e-25,"AP001266.1"
"216","ENSG00000172828",4.65849787139273,4.09095640169208e-144,"CES3","ENSG00000265408",2.78843740556581,1.40869046226188e-129,"AC009084.1"
"217","ENSG00000172831",2.67363577213551,6.2727054837911e-281,"CES2","ENSG00000265408",2.78843740556581,1.40869046226188e-129,"AC009084.1"
"218","ENSG00000172890",1.28857598861245,4.06232421144658e-92,"NADSYN1","ENSG00000254682",-1.18007721376081,6.08214114734683e-05,"AP002387.2"
"219","ENSG00000172893",-1.61820841286911,2.82741210607073e-104,"DHCR7","ENSG00000254682",-1.18007721376081,6.08214114734683e-05,"AP002387.2"
"220","ENSG00000172985",-1.19479002814243,5.07084336498796e-15,"SH3RF3","ENSG00000259863",-1.65493842600161,3.66410341902802e-37,"SH3RF3-AS1"
"221","ENSG00000173269",1.35339118070905,0.000308615811619196,"MMRN2","ENSG00000272734",1.0887249362854,1.47405368003755e-37,"ADIRF-AS1"
"222","ENSG00000173456",-1.1585394141713,5.96999663965657e-46,"RNF26","ENSG00000245385",-1.16367243702815,3.52956461157805e-22,"AP003396.1"
"223","ENSG00000173535",3.26294928641039,2.52378712685017e-47,"TNFRSF10C","ENSG00000246130",4.42040402939151,3.9923659434367e-29,"AC107959.2"
"224","ENSG00000173546",1.47350189827822,4.18529737016987e-18,"CSPG4","ENSG00000260892",1.24655692479961,2.43204821811136e-05,"AC105020.4"
"225","ENSG00000173825",1.83079975823103,1.02809449818356e-14,"TIGD3","ENSG00000255478",2.6068285198975,5.29731548067682e-06,"AP000944.1"
"226","ENSG00000174307",3.28216963970028,3.58411788932658e-221,"PHLDA3","ENSG00000224818",3.33685194532615,6.83764774640652e-94,"AC096677.2"
"227","ENSG00000176692",-1.12593798843737,1.44954287011415e-18,"FOXC2","ENSG00000260944",-1.09386680033483,0.00066461952753226,"FOXC2-AS1"
"228","ENSG00000176845",2.61719757420792,1.59460472545481e-208,"METRNL","ENSG00000261888",5.85309969793655,4.59215738150745e-23,"AC144831.1"
"229","ENSG00000176912",2.9227833391096,2.68908917524753e-32,"C18orf56","ENSG00000266456",2.32125891311462,2.6379038955063e-18,"AP001178.3"
"230","ENSG00000176912",2.9227833391096,2.68908917524753e-32,"C18orf56","ENSG00000263727",2.85556565240516,0.0013064337485996,"AP001178.1"
"231","ENSG00000177076",3.91622262395257,7.82386751862257e-71,"ACER2","ENSG00000260912",3.98763566528633,7.12196983352834e-277,"AL158206.1"
"232","ENSG00000177106",1.14685466421955,1.56515282960873e-110,"EPS8L2","ENSG00000269915",1.15272407550157,3.85562783628423e-21,"AP006621.4"
"233","ENSG00000177169",1.1931624664169,1.934155184024e-24,"ULK1","ENSG00000255992",-1.36000979507688,0.000475182408350866,"AC131009.1"
"234","ENSG00000177666",1.02928439887793,5.40793767551395e-63,"PNPLA2","ENSG00000255108",1.06343240370577,3.66809364927391e-51,"AP006621.1"
"235","ENSG00000177938",5.87025164516172,1.66608655515511e-05,"CAPZA3","ENSG00000255648",5.37130689598419,0.000194313125805246,"AC087242.1"
"236","ENSG00000178150",1.51938468927964,2.01422284599345e-13,"ZNF114","ENSG00000268186",3.37873657396921,0.00157310371922431,"ZNF114-AS1"
"237","ENSG00000178363",4.02296696573864,9.81837734241839e-08,"CALML3","ENSG00000256462",3.89766979571501,2.12006379193646e-09,"AL732437.1"
"238","ENSG00000179528",1.90908509473722,2.81172419113756e-15,"LBX2","ENSG00000272183",1.728877394938,9.33694504006452e-05,"AC005041.3"
"239","ENSG00000179528",1.90908509473722,2.81172419113756e-15,"LBX2","ENSG00000257702",2.03371172747675,1.72437189169613e-53,"LBX2-AS1"
"240","ENSG00000179820",-1.41862677399929,1.14841009741504e-42,"MYADM","ENSG00000232220",-1.15924812488144,5.30906372552771e-25,"AC008440.1"
"241","ENSG00000180155",4.53815411208084,1.49071843142743e-51,"LYNX1","ENSG00000253196",5.17672619368543,0.00383568195606988,"AC083841.1"
"242","ENSG00000180257",1.62753447320366,2.30724024694761e-37,"ZNF816","ENSG00000269082",1.379148866173,0.0040604102944144,"AC010328.3"
"243","ENSG00000181284",-1.54294807988615,8.08544303188328e-28,"TMEM102","ENSG00000262624",-1.66871972513178,1.00491325826877e-07,"AC113189.1"
"244","ENSG00000181467",1.09097891083171,2.81372550410125e-29,"RAP2B","ENSG00000244268",2.47738417603141,0.00499007309685974,"AC117394.2"
"245","ENSG00000182253",1.03979549272216,1.00491292308957e-10,"SYNM","ENSG00000261054",1.10462652609967,5.77605807198625e-09,"AC036108.2"
"246","ENSG00000182759",6.51404811827195,1.81672820446633e-38,"MAFA","ENSG00000254338",2.42171390454906,0.00367453608433799,"MAFA-AS1"
"247","ENSG00000182782",1.34182106886889,2.99197999041481e-07,"HCAR2","ENSG00000256249",2.01997336615494,2.1703442599572e-24,"AC026333.3"
"248","ENSG00000182827",1.18143258589682,5.47770088652777e-47,"ACBD3","ENSG00000234478",1.11296161450563,2.28151133310441e-20,"ACBD3-AS1"
"249","ENSG00000182950",5.02708052837621,8.55626800417348e-28,"ODF3L1","ENSG00000246877",3.6932598896835,1.85242922437942e-18,"DNM1P35"
"250","ENSG00000183309",1.3026416686953,3.69266258178281e-43,"ZNF623","ENSG00000254812",2.0756127332067,2.85935822075039e-07,"AC067930.2"
"251","ENSG00000183597",1.33549970251483,1.33630638392962e-39,"TANGO2","ENSG00000268292",1.45199276151163,3.25250414647238e-36,"AC006547.3"
"252","ENSG00000183655",1.26175321079532,3.11010875459082e-23,"KLHL25","ENSG00000259416",2.62912304695222,0.00363983741245488,"AC021739.3"
"253","ENSG00000183828",1.2646099049542,1.03869468713115e-24,"NUDT14","ENSG00000257622",1.83052254886749,4.63459475458679e-43,"AL512356.1"
"254","ENSG00000184207",-1.39203447206181,1.54374996286473e-51,"PGP","ENSG00000261532",-1.09004397147098,2.97533907771093e-18,"AC009065.8"
"255","ENSG00000184916",2.02302557108989,2.22831372783643e-187,"JAG2","ENSG00000257622",1.83052254886749,4.63459475458679e-43,"AL512356.1"
"256","ENSG00000184939",1.16611588230192,9.17595312108122e-22,"ZFP90","ENSG00000260084",2.74060454626158,0.00045590555101927,"AC126773.3"
"257","ENSG00000186193",-1.47339732710247,3.05414248353541e-28,"SAPCD2","ENSG00000231864",-1.47713363974347,1.49912298102112e-32,"AL807752.3"
"258","ENSG00000186635",1.0160619928462,1.09861280429424e-52,"ARAP1","ENSG00000245148",1.08060571328087,1.26928500339026e-09,"ARAP1-AS2"
"259","ENSG00000186635",1.0160619928462,1.09861280429424e-52,"ARAP1","ENSG00000256007",1.07821595499371,1.03238225443334e-21,"ARAP1-AS1"
"260","ENSG00000186642",2.88480098929116,4.58802660280994e-29,"PDE2A","ENSG00000256633",1.75323522416211,0.00058284797518529,"AP005019.1"
"261","ENSG00000187193",-1.96609365254839,1.32638852188593e-50,"MT1X","ENSG00000259827",-1.85955663690671,2.84459456627453e-33,"AC026461.1"
"262","ENSG00000187479",4.89487207628804,5.77806515070215e-29,"C11orf96","ENSG00000244953",5.51714000906068,3.33050571178896e-05,"AC087521.1"
"263","ENSG00000188089",4.17372926588089,3.31509774937611e-05,"PLA2G4E","ENSG00000246740",3.07888039307987,0.00158161751420353,"PLA2G4E-AS1"
"264","ENSG00000188100",4.56963781742048,0.00279747431572345,"FAM25A","ENSG00000272508",4.76741359308476,0.00102677721506146,"AL136982.6"
"265","ENSG00000188176",3.15815652664278,0.00308356793512381,"SMTNL2","ENSG00000261863",4.63218232595222,0.00704479612897313,"LINC01996"
"266","ENSG00000188211",1.48486185122994,1.96912492248345e-10,"NCR3LG1","ENSG00000260196",1.70869320055429,1.35621043817379e-48,"AC124798.1"
"267","ENSG00000188760",1.64224583202445,2.84985804902714e-11,"TMEM198","ENSG00000268896",2.86584205515944,1.39264419964117e-05,"AC009955.3"
"268","ENSG00000189269",3.37644227010358,9.05351977714509e-05,"C22orf43","ENSG00000211683",2.84624287079886,0.00137499705834362,"AP000346.1"
"269","ENSG00000196110",1.68813903859292,7.61929456759813e-31,"ZNF699","ENSG00000267510",1.75901412893546,1.21137890084244e-16,"AC011451.1"
"270","ENSG00000196337",4.22696432211799,5.9891604547193e-19,"CGB7","ENSG00000268108",2.1449476020073,3.58979673983484e-06,"AC008687.2"
"271","ENSG00000196562",2.53090169905902,7.5890321165762e-132,"SULF2","ENSG00000255438",2.31483852369564,2.63532736371272e-30,"AL354813.1"
"272","ENSG00000197557",-1.21207049114499,5.8970126719904e-10,"TTC30A","ENSG00000237655",-1.68248278330108,0.000195806706442611,"AC073834.1"
"273","ENSG00000198668",-1.42209169217268,5.04252293180749e-74,"CALM1","ENSG00000258424",-1.42857358979129,9.82412215207722e-37,"AL512791.1"
"274","ENSG00000198721",-1.12548859029047,2.34504987605133e-35,"ECI2","ENSG00000254821",-1.16378324703206,0.00328274492158467,"AL136309.3"
"275","ENSG00000198814",2.45961027990017,1.3306411634025e-94,"GK","ENSG00000241886",3.05474922782275,1.37047141679233e-10,"AC112496.1"
"276","ENSG00000198814",2.45961027990017,1.3306411634025e-94,"GK","ENSG00000243055",2.47926218693168,9.22189122739982e-31,"GK-AS1"
"277","ENSG00000204219",1.80481734281667,7.52528271112736e-80,"TCEA3","ENSG00000271420",2.66200393456652,0.00635528604433972,"AL109936.3"
"278","ENSG00000205476",-1.09743685841263,1.54439880235904e-15,"CCDC85C","ENSG00000258749",-1.24444261463513,3.3188601741043e-32,"AL110504.1"
"279","ENSG00000206075",1.35141358498362,1.35162934117782e-93,"SERPINB5","ENSG00000269989",3.30480357870426,0.000320950325197643,"AC036176.3"
"280","ENSG00000212734",2.89996220842566,1.69692755667418e-41,"C17orf100","ENSG00000261996",4.20241890464752,6.63470228683966e-53,"AC004706.1"
"281","ENSG00000213213",1.59267926804461,9.42927261500196e-07,"CCDC183","ENSG00000228544",1.36588710157129,0.000234993550734598,"CCDC183-AS1"
"282","ENSG00000213859",1.89519081618714,1.1158660106128e-41,"KCTD11","ENSG00000263171",1.87873795652082,2.03760543634361e-36,"AC026954.3"
"283","ENSG00000213927",3.03664858219202,1.32945788826476e-05,"CCL27","ENSG00000261215",1.43228162889165,1.61874671191773e-11,"AL162231.4"
"284","ENSG00000214357",1.8043006638239,1.0817059427046e-12,"NEURL1B","ENSG00000253445",1.70263133222474,7.78754962847155e-12,"AC027309.1"
"285","ENSG00000225950",1.20300266349419,4.23059145290493e-10,"NTF4","ENSG00000268108",2.1449476020073,3.58979673983484e-06,"AC008687.2"
"286","ENSG00000235098",2.4209614969048,2.20770430604017e-27,"ANKRD65","ENSG00000225905",2.7087898525095,0.00513871582164551,"AL391244.1"
"287","ENSG00000235878",-1.52924052851574,2.76263756685514e-09,"AP001468.1","ENSG00000228404",-1.62940825786681,5.70677816534471e-07,"AP001468.1"
"288","ENSG00000245848",1.95886915030783,2.17754133004134e-07,"CEBPA","ENSG00000267727",2.00677233947372,2.42809301655949e-05,"AC008738.5"
"289","ENSG00000245848",1.95886915030783,2.17754133004134e-07,"CEBPA","ENSG00000267580",2.41684570746747,4.49867887418836e-17,"AC008738.3"
"290","ENSG00000253293",1.86422475037389,0.00570271072458941,"HOXA10","ENSG00000253187",1.40128268961713,0.000130563837626967,"HOXA10-AS"
"291","ENSG00000255398",2.31223779241273,4.02658009742858e-28,"HCAR3","ENSG00000256249",2.01997336615494,2.1703442599572e-24,"AC026333.3"
"292","ENSG00000259649",4.6528459075644,0.0015898922754723,"RP11-351M8.1","ENSG00000259546",1.65714953742912,7.95855259652369e-05,"AC027808.1"
"293","ENSG00000268885",1.15415759413488,2.85815603870754e-09,"AC026740.1","ENSG00000271781",2.68317228238036,5.13064939775234e-15,"AC026740.1"
"294","ENSG00000271949",-1.25221084752153,0.00283661788072348,"RP11-302M6.4","ENSG00000272931",-1.58491844203105,0.000161095461702235,"AC099568.2"
