,GeneSymbol,log2FC_CvsO3,padj_CvsO3,lncRNA_symbol
1,IL1RL1,2.57509425179053,5.84033290284397e-18,PINCR
2,ZNF662,2.35043633338759,1.83336845069156e-06,PINCR
3,GSDMC,-3.49659825798939,8.1284456732157e-16,AC096677.2
4,ZNF683,7.2956139787256,9.31433416645488e-09,AL133415.1
5,TSPAN11,3.43778651946521,1.30307269339672e-06,AL133415.1
6,IGFALS,2.93222377662715,5.56377492572617e-05,AL133415.1
7,RP11-166B2.1,3.82560372178633,1.13054199709934e-33,AL354766.2
8,IGF2,2.03068772514971,0.000434755603372917,AL354766.2
9,FSTL4,3.08860333625068,2.32273945708921e-05,AL354766.2
10,TCHH,2.06033682863702,0.00325114533377118,AL354766.2
11,PGPEP1,2.04053163625526,1.06174953636985e-30,LINC01679
12,PSMB11,7.06925471009867,3.78716056982396e-08,LINC01679
13,CELF3,4.49121939903454,3.38342744742931e-11,LINC01679
14,ACHE,5.19193361408618,1.0296101823826e-88,PICART1
15,MEX3B,2.24347486610406,1.22762905567319e-83,PICART1
16,KCNA7,7.24726217085626,1.62519052661186e-08,PICART1
17,VSIG1,3.67096021958095,2.76271172973275e-20,AC010768.1
18,RET,3.07269842957775,0.00329426245485025,AC010768.1
19,STC1,-3.77230053701604,1.01371424556733e-53,AC010768.1
20,LMOD1,2.74111208934031,1.19269375694197e-26,AC010768.1
21,IFNL1,3.1729885606446,3.234320653609e-31,AC010768.1
22,CD82,2.57907935874151,2.31022059306064e-231,AC010768.1
23,SH2D4B,3.80147541570936,1.33494001114971e-05,AC010768.1
24,MDM2,4.85424549514051,0,AC025423.4
25,MYPN,2.10287155498899,5.3746055814484e-05,LINC01629
26,STAB1,3.02183707502414,4.03124741056194e-06,LINC01629
27,OTOG,4.55596589981176,0.00518161897870346,LINC01629
28,PIFO,2.77108759516091,0.00576689404108031,AL158206.1
29,COL6A3,-2.11639059845997,0.000119706881968139,AL158206.1
30,ANKRD24,2.50225212937018,9.81847828948777e-27,AC114947.2
31,DCLK3,4.811760530855,0.00151263493696415,AC114947.2
32,IQSEC3,4.13695457292894,2.17106828345891e-05,AC114947.2
33,APAF1,2.1354743945078,9.3921707307186e-120,AC114947.2
34,HMGCS1,-2.69369878671153,0,AC114947.2
35,APAF1,2.1354743945078,9.3921707307186e-120,AC114947.2
36,PGPEP1,2.04053163625526,1.06174953636985e-30,AC114947.2
37,CHRD,3.10020096137333,2.44412763774526e-06,AC114947.2
38,CREB5,2.29432773870049,2.80368970539097e-12,AC114947.2
39,HMGCS1,-2.69369878671153,0,AC114947.2
40,GAREML,2.11040382828505,4.53157588640538e-34,AC114947.2
41,IQSEC3,4.13695457292894,2.17106828345891e-05,DLGAP1-AS2
42,ZNF662,2.35043633338759,1.83336845069156e-06,DLGAP1-AS2
43,C5AR1,2.94156692716843,5.53207690913296e-25,DLGAP1-AS2
44,BEX2,2.11910030590838,4.37551256161698e-41,DLGAP1-AS2
45,LHX3,5.93281541700697,4.87013099926685e-21,AC145207.2
46,PRRX2,2.51536325080425,2.99985815495548e-08,AC145207.2
47,CGB7,4.22696432211799,5.9891604547193e-19,AC145207.2
48,AMHR2,4.20486187416104,0.004451250809059,AC145207.2
49,CDKN1A,4.52054557738211,0,AC145207.2
50,TNNI1,4.44935761121147,0.000148100071927252,AC145207.2
51,RUNDC3A,3.59820137611777,1.17846118750952e-69,AC145207.2
52,IGF2,2.03068772514971,0.000434755603372917,AC145207.2
53,HECW2,2.85744071894493,6.18817180999406e-08,AC145207.2
54,CDK5R2,4.68109008218978,0.00220103483497846,AC145207.2
55,ARHGAP30,4.47644608736189,2.58625497999899e-54,AP003396.5
56,KCNA7,7.24726217085626,1.62519052661186e-08,AP003396.5
57,MEX3B,2.24347486610406,1.22762905567319e-83,AP003396.5
58,ICOSLG,2.47137740587466,1.13563984902772e-37,AC099850.4
59,PGPEP1,2.04053163625526,1.06174953636985e-30,AC099850.4
60,CPM,4.03660693044433,0,AC099850.4
61,FLG2,3.87381688087572,0.00682211579502667,AC099850.4
62,PARD6G,2.2812169149641,1.14291493576559e-79,AC099850.4
63,POPDC2,2.43049554409533,7.07088827595918e-06,AC010761.5
64,PGPEP1,2.04053163625526,1.06174953636985e-30,AC010761.5
65,COL5A3,2.51711597962158,1.2012651384002e-13,AC010761.5
66,DRAXIN,4.62933828345452,1.27018762831104e-41,AC010761.5
67,HMGCS1,-2.69369878671153,0,AC010761.5
68,HOXB9,2.8208777338459,1.02583712244438e-16,AC010761.5
69,TRAF4,2.30234382537537,2.64286374730766e-301,AC010761.5
70,ZNF385D,-3.77430405903947,0.00039826543705203,DDIT4-AS1
71,TP53I11,3.73710043618749,2.98423207276274e-74,DDIT4-AS1
72,PGPEP1,2.04053163625526,1.06174953636985e-30,DDIT4-AS1
73,PSMB11,7.06925471009867,3.78716056982396e-08,DDIT4-AS1
74,POPDC2,2.43049554409533,7.07088827595918e-06,DDIT4-AS1
75,WNT9A,2.4671572239438,3.56169224663124e-38,DDIT4-AS1
76,HOXB9,2.8208777338459,1.02583712244438e-16,DDIT4-AS1
77,RIIAD1,2.53444188569075,2.76304497141583e-08,DDIT4-AS1
78,SSTR5,6.62030141312742,3.53806332603664e-07,DDIT4-AS1
79,TSPAN11,3.43778651946521,1.30307269339672e-06,AL139423.1
80,CASZ1,2.97151375407993,2.15034778730366e-159,AL139423.1
81,SLC8A2,4.45485333427466,4.47904780134471e-06,AL139423.1
82,NPTXR,2.50219238074505,7.85436360067716e-14,AL139423.1
83,LINGO1,4.02433070843784,4.00904806059089e-12,AL139423.1
84,ACHE,5.19193361408618,1.0296101823826e-88,AL139423.1
85,CTD-2267D19.3,3.21891878860791,5.36931469047565e-06,AL139423.1
86,PLIN4,4.65046112032335,2.85400951450087e-79,AL139423.1
87,MAFB,3.1002371484197,6.5438237923846e-06,AL139423.1
88,RIMS4,4.0190729802304,2.01082873293314e-11,AL139423.1
89,OTP,4.91430265719056,0.000469752829333991,AL139423.1
90,TNNI1,4.44935761121147,0.000148100071927252,AL139423.1
91,POPDC2,2.43049554409533,7.07088827595918e-06,AL391121.1
92,ADAMTS2,2.09688843281717,0.000728504854426526,AL391121.1
