,GeneSymbol,log2FC_CvsOH,padj_CvsOH,lncRNA_symbol
1,IL1RL1,2.49777121220217,3.36981271510501e-16,PINCR
2,ZNF662,2.58243906636798,2.17556799840744e-07,PINCR
3,GSDMC,-4.72425111196017,5.67430303545516e-12,AC096677.2
4,FDXACB1,-2.37447470149313,2.89695523600594e-26,AC096677.2
5,ZNF683,7.37591332743663,7.23136106869531e-09,AL133415.1
6,TSPAN11,3.79905955427761,9.83073355062391e-08,AL133415.1
7,IGFALS,2.32358789756443,0.00278807115476326,AL133415.1
8,RP11-166B2.1,3.90275837674222,3.38070378067831e-34,AL354766.2
9,FSTL4,2.99962290965738,6.21608956594532e-05,AL354766.2
10,TCHH,2.64855484121667,0.000125953513054823,AL354766.2
11,PSMB11,7.0719184785414,4.39284565569692e-08,LINC01679
12,CELF3,4.37281520568197,1.92952570588144e-10,LINC01679
13,ACHE,5.43114812189178,2.83618887748431e-96,PICART1
14,MEX3B,2.27619860591621,2.95370612046632e-83,PICART1
15,KCNA7,7.42662967630854,7.30523242424799e-09,PICART1
16,VSIG1,3.4516185681396,2.22293108325643e-17,AC010768.1
17,STC1,-4.04604575728405,5.38924962839232e-41,AC010768.1
18,LMOD1,2.77654655883704,3.47722419176736e-26,AC010768.1
19,IFNL1,3.14506092593543,6.15849022918988e-30,AC010768.1
20,CD82,2.48732014164423,1.05844181572669e-210,AC010768.1
21,SH2D4B,2.69959625587139,0.00404860899238242,AC010768.1
22,PDGFB,-2.0610380373449,9.78384470845548e-67,AC010768.1
23,MDM2,4.82090761895865,0,AC025423.4
24,MYPN,2.72333297223283,1.23589337588309e-07,LINC01629
25,STAB1,2.71061566847163,7.12197808677481e-05,LINC01629
26,COL6A3,-3.92072218901884,9.92354712237289e-06,AL158206.1
27,ANKRD24,2.5226393553054,5.00070802961114e-26,AC114947.2
28,DCLK3,4.81534862092082,0.00184508435925132,AC114947.2
29,IQSEC3,4.51683528986175,3.58701490105208e-06,AC114947.2
30,APAF1,2.22695766955275,3.47649459351758e-128,AC114947.2
31,HMGCS1,-2.91777369595121,0,AC114947.2
32,ADAMTS4,3.73878747335834,0.00717421467988268,AC114947.2
33,APAF1,2.22695766955275,3.47649459351758e-128,AC114947.2
34,CHRD,2.85483668767,2.86251646009813e-05,AC114947.2
35,HMGCS1,-2.91777369595121,0,AC114947.2
36,GAREML,2.26687020109298,1.23111971334157e-37,AC114947.2
37,IQSEC3,4.51683528986175,3.58701490105208e-06,DLGAP1-AS2
38,IRGQ,2.094836059969,1.12582311863222e-13,DLGAP1-AS2
39,ZNF662,2.58243906636798,2.17556799840744e-07,DLGAP1-AS2
40,KIAA1614,2.00950183471702,3.95020505395101e-12,DLGAP1-AS2
41,C5AR1,2.5870241321031,2.29755110265613e-18,DLGAP1-AS2
42,EGLN3,-2.06272085165008,1.68662625042009e-13,DLGAP1-AS2
43,BEX2,2.14972440355542,2.54575114574598e-41,DLGAP1-AS2
44,LHX3,6.1189949589019,3.4334318144452e-22,AC145207.2
45,PRRX2,2.44753606811271,1.42075135908293e-07,AC145207.2
46,CGB7,4.30455205027828,3.06503982986296e-19,AC145207.2
47,AMHR2,4.66397139592553,0.00156080337801476,AC145207.2
48,CDKN1A,4.5737313312722,0,AC145207.2
49,TNNI1,5.02004233767961,1.66769540973602e-05,AC145207.2
50,RUNDC3A,3.63353807740197,4.92754163125646e-69,AC145207.2
51,TNFRSF21,-2.08160086357879,2.38267209611685e-113,AC145207.2
52,HECW2,2.73746580844715,4.60667058144076e-07,AC145207.2
53,RGS6,2.6447285849613,0.00680958696693196,AC145207.2
54,ARHGAP30,4.30957378436121,3.21994881269915e-49,AP003396.5
55,KCNA7,7.42662967630854,7.30523242424799e-09,AP003396.5
56,MEX3B,2.27619860591621,2.95370612046632e-83,AP003396.5
57,EXOC3L2,3.80145381536757,0.00344179299408631,AC009084.1
58,EMR2,-2.25086895696858,9.60796058781042e-27,AC009084.1
59,ICOSLG,2.37858244391968,2.53892328248241e-33,AC099850.4
60,CPM,3.93454604165907,0,AC099850.4
61,KIAA1614,2.00950183471702,3.95020505395101e-12,AC099850.4
62,PARD6G,2.27562353626873,3.82129248434807e-77,AC099850.4
63,AC006538.1,2.26037852500384,7.63914751313674e-16,AC099850.4
64,KALRN,2.61700870056543,0.000475359112696988,AC099850.4
65,POPDC2,2.21765969529017,8.16081672736436e-05,AC010761.5
66,COL5A3,2.55267095886918,1.52059861832857e-13,AC010761.5
67,DRAXIN,4.87538694743483,1.42270414558561e-45,AC010761.5
68,HMGCS1,-2.91777369595121,0,AC010761.5
69,HOXB9,2.42259615533807,9.29344593057932e-12,AC010761.5
70,TRAF4,2.44986416617882,0,AC010761.5
71,ZNF385D,-5.90021899326519,4.75831593632101e-05,DDIT4-AS1
72,TP53I11,3.96313207327692,4.3010862311277e-82,DDIT4-AS1
73,PSMB11,7.0719184785414,4.39284565569692e-08,DDIT4-AS1
74,POPDC2,2.21765969529017,8.16081672736436e-05,DDIT4-AS1
75,WNT9A,2.5234318365238,3.60206360235061e-38,DDIT4-AS1
76,HOXB9,2.42259615533807,9.29344593057932e-12,DDIT4-AS1
77,RIIAD1,2.71763052766393,4.72986189578787e-09,DDIT4-AS1
78,SSTR5,7.35014119653102,1.30886481139518e-08,DDIT4-AS1
79,TSPAN11,3.79905955427761,9.83073355062391e-08,AL139423.1
80,CASZ1,2.80836221571439,4.54889780319738e-138,AL139423.1
81,SLC8A2,3.98744535574537,6.49678113105363e-05,AL139423.1
82,NPTXR,2.11134756594779,2.37914829900219e-09,AL139423.1
83,FAM57B,2.33572825070606,3.69719461834058e-05,AL139423.1
84,LINGO1,3.97174199493203,1.5131699168343e-11,AL139423.1
85,SREBF1,-2.23089597282359,9.06658466392221e-145,AL139423.1
86,ACHE,5.43114812189178,2.83618887748431e-96,AL139423.1
87,CTD-2267D19.3,3.11082536905026,1.82346034225233e-05,AL139423.1
88,PLIN4,4.85795077985356,1.26878377007796e-85,AL139423.1
89,MAFB,3.59484677381477,1.62759251038857e-07,AL139423.1
90,RIMS4,4.32442951129092,6.8331658328718e-13,AL139423.1
91,OTP,5.27478159892249,0.000173824510689681,AL139423.1
92,TNNI1,5.02004233767961,1.66769540973602e-05,AL139423.1
93,POPDC2,2.21765969529017,8.16081672736436e-05,AL391121.1
